config,seed,accuracy,download_mb,upload_mb,bidir_mb
k1_0.10_k2_0.02,42,0.6347,60.18,60.18,120.36
k1_0.10_k2_0.05,42,0.6353,85.86,85.86,171.72
k1_0.10_k2_0.10,42,0.6377,128.95,128.95,257.90
k1_0.20_k2_0.02,42,0.6371,103.16,103.16,206.32
k1_0.20_k2_0.05,42,0.6392,128.95,128.95,257.90
k1_0.20_k2_0.10,42,0.6417,171.94,171.94,343.87
k1_0.30_k2_0.02,42,0.6539,146.15,146.15,292.29
k1_0.30_k2_0.05,42,0.6506,171.83,171.83,343.65
k1_0.30_k2_0.10,42,0.6399,214.92,214.92,429.84
