method,seed,final_acc,download_mb,upload_mb,bidir_mb,bidir_saving_pct,runtime_sec,acc_at_50mb,acc_at_100mb,acc_at_200mb,acc_at_500mb
fedavg,42,0.6573,1611.90,1611.90,3223.80,0.0,,0.5242,0.6094,0.6572,0.6660
fedzip,42,0.6573,17.14,1611.90,1629.04,49.5,,0.6573,0.6573,0.6573,0.6573
fedsparse,42,0.4155,1611.90,1611.90,3223.80,0.0,,0.2581,0.2632,0.3180,0.3692
uniform,42,0.6244,161.18,1611.90,1773.08,45.0,,0.6461,0.6341,0.6244,0.6244
divroute,42,0.6327,249.95,1611.90,1861.85,42.2,,0.6255,0.6522,0.6488,0.6327
