config,seed,accuracy,download_mb,upload_mb,bidir_mb
gamma_0.70,42,0.6310,128.95,128.95,257.90
gamma_0.80,42,0.6370,128.95,128.95,257.90
gamma_0.85,42,0.6463,128.95,128.95,257.90
gamma_0.90,42,0.6458,128.95,128.95,257.90
gamma_1.00,42,0.6393,128.95,128.95,257.90
